ImageId,EncodedPixels
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,348 5 695 5 1042 8 1389 10 1736 11 2083 11 2430 10 2777 9 3125 7 3471 5 3818 4 4165 5 4512 7 4859 7 5206 5 5553 3
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,15617 2 15963 3 16310 4 16657 4 17004 4 17351 4 17698 3 18045 3
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,41295 2 41642 2 41988 3 42336 2 42682 3 43030 2 43377 1
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,67320 1 67666 3 67691 9 68013 4 68025 25 68360 5 68369 29 68707 38 69054 37 69401 36 69748 3 69752 30 70095 2 70100 27 70443 1 70450 22
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,71831 1 72177 3 72524 3 72871 4 73218 5 73565 5 73912 4 74259 3 74607 1
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,25343 1 25680 2 25684 10 26027 15 26374 16 26721 16 27068 13 27415 12 27764 8
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,48938 1 48943 5 49282 15 49628 16 49975 14 50322 11 50670 10
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,59699 8 60043 16 60389 18 60735 20 61082 22 61430 22 61460 3 61778 22 61804 7 62125 35 62473 34 62821 33 63170 30 63518 28 63867 25 64215 10 64228 9 64563 7
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,81912 11 82258 19 82604 23 82951 25 83298 25 83645 24 83992 22 84340 20 84686 20 85028 25 85374 27 85719 31 86066 32 86413 33 86760 33 87108 32 87456 31 87806 26 88155 23 88504 20
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,34051 10 34395 15 34741 16 35087 17 35434 16 35781 15 36128 14 36474 14 36817 19 37161 22 37507 23 37853 23 38198 24 38544 23 38891 21 39237 21 39584 20 39932 17 40280 14 40628 10 40975 7 41318 9 41663 12 42009 14 42354 17 42700 20 43047 21 43394 21 43741 22 44088 23 44435 23 44782 22 45130 20 45478 18 45827 13
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,50010 6 50352 13 50697 16 51040 21 51386 23 51732 23 52078 23 52424 23 52771 22 53118 20 53465 19 53813 16 54161 11 54510 4
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,2482 13 2827 17 3172 22 3516 28 3862 31 4208 33 4555 34 4902 35 5249 35 5596 35 5943 34 6309 14 6657 10 7007 3
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,12195 17 12540 22 12887 24 13234 25 13581 25 13928 25 14276 24 14624 22 14974 17 15333 17 15680 19 16024 22 16369 24 16717 24 17063 26 17409 28 17756 27 18107 22 18459 13 18807 11 19154 10 19489 27 19833 32 20178 36 20522 40 20868 41 21213 42 21560 41 21907 40 22262 27 22609 11 22956 8
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,57998 8 58343 17 58690 18 59037 18 59384 18 59733 14 60089 4
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,41348 4 41694 8 42040 11 42386 13 42733 13 43080 12 43428 9
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,57 11 405 7
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,50036 12 50380 19 50726 23 51072 26 51418 28 51766 27 52114 26 52462 24 52810 22 53168 1
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,29222 1 29565 10 29911 13 30256 17 30602 19 30949 20 31296 20 31644 20 31991 21 32338 22 32686 21 33033 21 33381 20 33729 18 34079 12
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,69141 9 69483 18 69828 22 70173 24 70519 24 70866 20 71214 14 71565 6
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,60467 2 60809 10 61154 12 61500 13 61847 11 62194 10 62543 3
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,35490 2 35836 4 36183 3 36530 2
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,28206 4 28552 21 28898 25 29246 32 29594 31 29942 31 30295 13
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,42450 11 42794 17 43140 19 43487 19 43834 19 44180 20 44527 18 44874 13 45222 9 45570 6 45919 1
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,55644 17 55985 26 56330 29 56676 31 57022 34 57369 36 57718 35 58068 17 58090 11 58418 9 58439 10 58786 11 59132 12 59479 12 59826 11 60175 7
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,23040 1 23383 12 23730 13 24075 15 24412 4 24419 19 24755 30 25100 32 25446 32 25793 31 26141 30 26492 10 26505 11 26841 3 26845 1 26851 11 27197 12 27544 13 27891 14 28238 14 28586 13 28934 12 29282 11 29629 11 29976 10 30325 6
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,50093 8 50438 11 50783 13 51128 14 51474 14 51820 14 52167 12 52514 10 52862 6
